ID	Name	Team	Position	Age	nhlId	BirthDate
1	A.J. Greer	New Jersey Devils	Forward	24	8478421	1996-12-14
2	Aapeli Rasanen	Edmonton Oilers	Forward	23	8479540	1998-06-01
3	Aarne Talvitie	New Jersey Devils	Forward	22	8480237	1999-02-11
4	Aaron Dell	Buffalo Sabres	Goalie	32	8477180	1989-05-04
5	Aaron Ekblad	Florida Panthers	Defenseman	25	8477932	1996-02-07
6	Aaron Gagnon	N/A	Forward	35	8471451	1986-04-24
7	Aaron Haydon	N/A	Defenseman	25	8478083	1996-01-06
8	Aaron Huglen	Buffalo Sabres	Forward	20	8481741	2001-03-06
9	Aaron Irving	N/A	Defenseman	25	8478090	1996-03-03
10	Aaron Johnson	N/A	Defenseman	38	8469534	1983-04-30
11	Aaron Ness	N/A	Defenseman	31	8474604	1990-05-18
12	Aaron Palushaj	N/A	Forward	32	8474030	1989-09-07
13	Aaron Rome	N/A	Defenseman	37	8470310	1983-09-27
14	Aaron Volpatti	N/A	Forward	36	8475619	1985-05-30
15	Aatu Jamsen	Los Angeles Kings	Forward	19	8482466	2002-07-22
16	Aatu Raty	New York Islanders	Forward	18	8482691	2002-11-14
17	Adam Almquist	N/A	Defenseman	30	8475332	1991-02-27
18	Adam Beckman	Minnesota Wild	Forward	20	8481550	2001-05-10
19	Adam Boqvist	Columbus Blue Jackets	Defenseman	21	8480871	2000-08-15
20	Adam Brooks	Toronto Maple Leafs	Forward	25	8478996	1996-05-06
21	Adam Burish	N/A	Forward	38	8470063	1983-01-06
22	Adam Clendening	Philadelphia Flyers	Defenseman	28	8476431	1992-10-26
23	Adam Cracknell	N/A	Forward	36	8471490	1985-07-15
24	Adam Edstrom	New York Rangers	Forward	20	8481726	2000-10-12
25	Adam Erne	Detroit Red Wings	Forward	26	8477454	1995-04-20
26	Adam Fox	New York Rangers	Defenseman	23	8479323	1998-02-17
27	Adam Gaudette	Chicago Blackhawks	Forward	24	8478874	1996-10-03
28	Adam Gilmour	N/A	Forward	27	8476972	1994-01-29
29	Adam Ginning	Philadelphia Flyers	Defenseman	21	8480874	2000-01-13
30	Adam Hall	N/A	Forward	41	8467925	1980-08-14
31	Adam Helewka	N/A	Forward	26	8478194	1995-07-21
32	Adam Henrique	Anaheim Ducks	Forward	31	8474641	1990-02-06
33	Adam Huska	New York Rangers	Goalie	24	8478903	1997-05-12
34	Adam Johnson	N/A	Forward	27	8480341	1994-06-22
35	Adam Larsson	Seattle Kraken	Defenseman	28	8476457	1992-11-12
36	Adam Lowry	Winnipeg Jets	Forward	28	8476392	1993-03-29
37	Adam Marsh	N/A	Forward	24	8478509	1997-08-22
38	Adam Mascherin	Dallas Stars	Forward	23	8479374	1998-06-06
39	Adam McQuaid	N/A	Defenseman	34	8471717	1986-10-12
40	Adam Musil	N/A	Forward	24	8478423	1997-03-26
41	Adam Ollas Mattsson	N/A	Defenseman	25	8478103	1996-07-30
42	Adam Pardy	N/A	Defenseman	37	8471385	1984-03-29
43	Adam Parsells	N/A	Defenseman	24	8478883	1997-01-03
44	Adam Payerl	N/A	Forward	30	8476522	1991-03-04
45	Adam Pelech	New York Islanders	Defenseman	27	8476917	1994-08-16
